Topic,TopWords
1,"[['wait', 'teamtrump', 'service', 'building', 'press', 'million', 'war', 'energy', 'truly', 'dont', 'lot', 'candidate', 'remember', 'open', 'presidential', 'end', 'problem', 'live', 'place', 'soon', 'doesnt', 'white', 'nation', 'whitehouse', 'sta', 'people', 'better', 'watch', 'look', 'house']]"
2,"[['absolutely', 'highest', 'given', 'robe', 'mark', 'miss', 'save', 'celebrity', 'win', 'russian', 'apprenticenbc', 'god', 'wow', 'ivankatrump', 'happen', 'stand', 'celebapprentice', 'apprentice', 'justice', 'case', 'senator', 'cou', 'witch', 'hunt', 'rating', 'book', 'congratulation', 'tonight', 'best', 'great']]"
3,"[['failing', 'success', 'texas', 'going', 'price', 'south', 'truth', 'cruz', 'tariff', 'drug', 'korea', 'federal', 'company', 'lie', 'schiff', 'lost', 'happy', 'york', 'hit', 'fantastic', 'iran', 'time', 'course', 'wall', 'border', 'fbi', 'security', 'story', 'record', 'national']]"
4,"[['election', 'history', 'administration', 'didnt', 'far', 'dont', 'thats', 'best', 'usa', 'republican', 'russia', 'bad', 'right', 'night', 'said', 'impeachment', 'say', 'working', 'real', 'hard', 'democrat', 'foxnews', 'united', 'world', 'win', 'really', 'state', 'country', 'people', 'job']]"
5,"[['tower', 'criminal', 'sign', 'allowed', 'stock', 'comey', 'ive', 'voting', 'future', 'hotel', 'ready', 'market', 'potus', 'rally', 'government', 'golf', 'florida', 'john', 'makeamericagreatagain', 'billion', 'tomorrow', 'forward', 'man', 'people', 'got', 'work', 'make', 'donald', 'america', 'great']]"
6,"[['fraud', 'force', 'southern', 'phony', 'country', 'stay', 'ing', 'jim', 'disaster', 'voter', 'iowa', 'major', 'fox', 'dems', 'point', 'number', 'office', 'honor', 'interview', 'stop', 'election', 'democrat', 'let', 'poll', 'republican', 'vote', 'repo', 'medium', 'fake', 'news']]"
7,"[['year', 'guy', 'carolina', 'city', 'million', 'political', 'ant', 'order', 'long', 'making', 'illegal', 'wonderful', 'governor', 'woman', 'state', 'coming', 'crooked', 'maga', 'impo', 'life', 'looking', 'law', 'campaign', 'clinton', 'country', 'love', 'hillary', 'obama', 'great', 'american']]"
8,"[['depa', 'crazy', 'bad', 'donaldjtrumpjr', 'mean', 'believe', 'night', 'race', 'fighting', 'taking', 'entrepreneur', 'rate', 'seen', 'month', 'ago', 'tremendous', 'sad', 'friend', 'home', 'trying', 'word', 'change', 'join', 'mexico', 'debate', 'thing', 'cnn', 'going', 'true', 'year']]"
9,"[['politics', 'information', 'special', 'highly', 'approval', 'investigation', 'loser', 'used', 'interviewed', 'bush', 'youre', 'cont', 'told', 'joe', 'mike', 'general', 'corrupt', 'person', 'agree', 'team', 'trump', 'yesterday', 'mueller', 'enjoy', 'obamacare', 'morning', 'collusion', 'meeting', 'getting', 'foxandfriends']]"
10,"[['biden', 'dollar', 'sma', 'money', 'gop', 'leader', 'make', 'trade', 'week', 'crime', 'senate', 'america', 'amazing', 'congress', 'fact', 'family', 'economy', 'business', 'strong', 'military', 'total', 'vote', 'democrat', 'tax', 'border', 'suppo', 'china', 'deal', 'run', 'need']]"
